model_id,label,checkpoint,lineage_kd_tokens,source_artifact,mean_primary_accuracy,mean_delta_vs_pre_kd,arc_challenge,arc_challenge_delta_vs_pre_kd,arc_easy,arc_easy_delta_vs_pre_kd,hellaswag,hellaswag_delta_vs_pre_kd,piqa,piqa_delta_vs_pre_kd,winogrande,winogrande_delta_vs_pre_kd,openbookqa,openbookqa_delta_vs_pre_kd,mmlu,mmlu_delta_vs_pre_kd
cand-016-pre-kd,cand-016 pre-KD,/arf/scratch/skantar/MinitronSSM/outputs/checkpoints/cand-016,0,outputs/eval/12_report_pre_kd.json,0.3256063172990607,0.0,0.2568259385665529,0.0,0.2617845117845118,0.0,0.2588129854610635,0.0,0.499455930359086,0.0,0.5074980268350434,0.0,0.26,0.0,0.23486682808716708,0.0
cand-016-kd15m,cand-016 KD 15M,/arf/scratch/skantar/MinitronSSM/outputs/checkpoints/cand-016-kd,15000576,outputs/eval/12_report_kd15m.json,0.43430442960455035,0.10869811230548965,0.2977815699658703,0.040955631399317405,0.5058922558922558,0.24410774410774405,0.47241585341565423,0.2136028679545907,0.6643090315560392,0.16485310119695318,0.5595895816890292,0.052091554853985755,0.302,0.04199999999999998,0.23814271471300386,0.003275886625836777
cand-016-mini25m,cand-016 mini-final ~25M,outputs/checkpoints/cand-016-mini-final,25000960,outputs/eval/09_final_eval_mini_kd.json,0.4415133664561702,0.11590704915710948,0.3054607508532423,0.04863481228668942,0.5252525252525253,0.2634680134680135,0.4781915952997411,0.21937860983867757,0.6735582154515778,0.17410228509249182,0.5516969218626677,0.04419889502762431,0.32,0.06,0.23643355647343683,0.0015667283862697556
cand-016-kd30m,cand-016 round-2 ~30M,outputs/checkpoints/cand-016-kd2,30001152,outputs/eval/09_final_eval_round2.json,0.4407652276139927,0.11515891031493203,0.29436860068259385,0.03754266211604096,0.5298821548821548,0.26809764309764306,0.48287193786098387,0.22405895239992035,0.6789989118607181,0.17954298150163217,0.5422257300710339,0.034727703235990504,0.322,0.062,0.23500925794046432,0.0001424298532972379
cand-016-final35m,cand-016 mini-final2 ~35M,/arf/scratch/skantar/MinitronSSM/outputs/checkpoints/cand-016-mini-final2,35001344,outputs/eval/12_report_final35m.json,0.4483238521423955,0.12271753484333481,0.31143344709897613,0.05460750853242324,0.5387205387205387,0.2769360269360269,0.4894443337980482,0.23063134833698468,0.676822633297062,0.17736670293797607,0.5422257300710339,0.034727703235990504,0.334,0.07400000000000001,0.24562028201110953,0.010753453923942446
